Ticker,Date,ClosePrice,ChangePct,AbsChange,OvernightReturn,20D_Range,VolRatio,5D_Change,Direction,Volume,DayOfWeek,Bin,RangeBin,VolBin,Month,OvernightAbs,AvgOvernightVol20,VolSpike,GapBin
AAPL,2025-10-23,258.84765625,0.43720555055193344,0.43720555055193344,0.6202567006768245,73.17979143376198,0.7366996407580236,4.901981518426601,Up,32754900.0,Thursday,<1%,50-75%,<0.8x,October,0.6202567006768245,0.443929381030152,1.3971967776440015,0.5 to 1%
AAPL,2025-10-24,262.0785827636719,1.2481961631328753,1.2481961631328753,0.7838021617302182,88.39852984065611,0.8680105952853544,4.173785220160431,Up,38253700.0,Friday,1-2%,75-100%,0.8-1.2x,October,0.7838021617302182,0.4655041973764524,1.6837703422389527,0.5 to 1%
AAPL,2025-10-27,268.0516662597656,2.2791192752595,2.2791192752595,0.06695410649912859,98.76593387582666,1.0130816679482095,2.505345532264691,Up,44888200.0,Monday,2-3%,75-100%,0.8-1.2x,October,0.06695410649912859,0.46040149147297427,0.14542547697862707,0 to 0.5%
AAPL,2025-10-28,268.2411193847656,0.07067783895675639,0.07067783895675639,0.10408548038691734,96.56232529826997,0.9333642995593605,2.3709099125277744,Up,41534800.0,Tuesday,<1%,75-100%,0.8-1.2x,October,0.10408548038691734,0.45755521496878504,0.2274817923209949,0 to 0.5%
AAPL,2025-10-29,268.93914794921875,0.26022429598195895,0.26022429598195895,0.8490851282784151,93.76143222376854,1.1449607435083042,4.352872552486109,Up,51086700.0,Wednesday,<1%,75-100%,0.8-1.2x,October,0.8490851282784151,0.4778919597591408,1.7767303067964504,0.5 to 1%
AAPL,2025-10-30,270.63433837890625,0.6303249053230431,0.6303249053230431,2.0596982470617142,90.90902676737181,1.5198813437128587,4.5535209009280875,Up,69886500.0,Thursday,<1%,75-100%,1.2-2x,October,2.0596982470617142,0.5330411778521832,3.8640509075883926,>2%
AAPL,2025-10-31,269.6072692871094,-0.37950435186790976,0.37950435186790976,0.0184883276335146,79.14163877141375,1.801448294425556,2.8726828587235076,Down,86167100.0,Friday,<1%,75-100%,1.2-2x,October,0.0184883276335146,0.5333840010143859,0.03466232132638705,0 to 0.5%
AAPL,2025-11-03,268.29095458984375,-0.48823412690103263,0.48823412690103263,-0.267602825324742,75.179941896255,1.0433591464320866,0.089269480550902,Down,50194600.0,Monday,<1%,75-100%,0.8-1.2x,November,0.267602825324742,0.5444264368914126,0.4915316509108395,-0.5 to 0%
AAPL,2025-11-04,269.2781982421875,0.3679750045442409,0.3679750045442409,-0.5295569916403675,78.15123751472312,1.0061297080527458,0.3866218795240961,Up,49274800.0,Tuesday,<1%,75-100%,0.8-1.2x,November,0.5295569916403675,0.5701245966500917,0.9288443171052622,-1 to -0.5%
AAPL,2025-11-05,269.3779296875,0.037036583712879434,0.037036583712879434,-0.8329037254501293,78.45139807364596,0.8854578929584134,0.1631527955774148,Up,43683100.0,Wednesday,<1%,75-100%,0.8-1.2x,November,0.8329037254501293,0.6069252812598869,1.3723332198671057,-1 to -0.5%
AAPL,2025-11-06,269.0089416503906,-0.13697782796735503,0.13697782796735503,0.011118158716505455,77.34085911466921,1.0245305885528455,-0.600587766597438,Down,51204000.0,Thursday,<1%,75-100%,0.8-1.2x,November,0.011118158716505455,0.5897670959961965,0.018851778595286636,0 to 0.5%
